Beer Name,Brewery,Beer Style,ABV
Le Flaneur Ale,Brewery Vivant,Sour Ale,7.3
Le Freak,Green Flash Brewing Company,IPA - Belgian,9.2
Le Merle,North Coast Brewing Company,Saison / Farmhouse Ale,7.9
Le Quatre,Red Rock Brewing Co.,Saison / Farmhouse Ale,6
Le Terroir (Lips of Faith),New Belgium Brewing Company,American Wild Ale,7.5
Lemon Peel Rose Hips Wheat,Falling Down Beer Company,Pale Wheat Ale - American,5.2
Levitation Ale,Stone Brewing Company,Red Ale - American Amber / Red,4.4
Lil' Griz,Perrin Brewing Co.,Brown Ale - American,6.8
Lilikoi Wheat,Latitude 42 Brewing Company,Fruit Beer,5.4
Lindsay's S'more Porter (Lips of Faith),New Belgium Brewing Company,Porter - American,8.25
Little Bavaria Pilsener,Frankenmuth Brewery,Pilsner - German,5.25
Live Wire,Roak Brewing Co.,IPA - American,7.5
Local's,Short's Brewing Company,Lager - American Light,4
